sign_pattern_index,null_mean_delta_L
399,-0.0362676336570889
400,-0.0028706087702554
401,-0.002949770869404
402,-0.0028921337441413
403,-0.0029712958432899
404,-0.0028987048199844
405,-0.0029778669191331
406,-0.0029202297938703
407,-0.002999391893019
408,0.0377081070654909
409,0.0376289449663423
410,0.037686582091605
411,0.0376074199924564
412,0.0376800110157619
413,0.0376008489166132
414,0.037658486041876
415,0.0375793239427273
416,-0.0771439766772769
417,-0.0772231387764256
418,-0.0771655016511628
419,-0.0772446637503115
420,-0.077172072727006
421,-0.0772512348261547
422,-0.0771935977008919
423,-0.0772727598000405
424,-0.0365652608415306
425,-0.0366444229406792
426,-0.0365867858154164
427,-0.0366659479145651
428,-0.0365933568912596
429,-0.0366725189904083
430,-0.0366148818651455
431,-0.0366940439642941
432,-0.0032970190774606
433,-0.0033761811766092
434,-0.0033185440513464
435,-0.0033977061504951
436,-0.0033251151271896
437,-0.0034042772263383
438,-0.0033466401010755
439,-0.0034258022002241
440,0.0372816967582857
441,0.0372025346591371
442,0.0372601717843999
443,0.0371810096852512
444,0.0372536007085567
445,0.037174438609408
446,0.0372320757346708
447,0.0371529136355222
448,-0.0731946650060483
449,-0.0732738271051969
450,-0.0732161899799342
451,-0.0732953520790828
452,-0.0732227610557774
453,-0.073301923154926
454,-0.0732442860296632
455,-0.0733234481288119
456,-0.0326159491703019
457,-0.0326951112694506
458,-0.0326374741441878
459,-0.0327166362433364
460,-0.032644045220031
461,-0.0327232073191796
462,-0.0326655701939169
463,-0.0327447322930655
464,0.000652292593768
465,0.0005731304946193
466,0.0006307676198821
467,0.0005516055207335
468,0.0006241965440389
469,0.0005450344448903
470,0.000602671570153
471,0.0005235094710044
472,0.0412310084295144
473,0.0411518463303657
474,0.0412094834556285
475,0.0411303213564799
476,0.0412029123797853
477,0.0411237502806367
478,0.0411813874058994
479,0.0411022253067508
480,-0.0736210753132535
481,-0.0737002374124021
482,-0.0736426002871394
483,-0.073721762386288
484,-0.0736491713629825
485,-0.0737283334621312
486,-0.0736706963368684
487,-0.0737498584360171
488,-0.0330423594775071
489,-0.0331215215766557
490,-0.033063884451393
491,-0.0331430465505416
492,-0.0330704555272362
493,-0.0331496176263848
494,-0.033091980501122
495,-0.0331711426002707
496,0.0002258822865628
497,0.0001467201874142
498,0.0002043573126769
499,0.0001251952135283
500,0.0001977862368337
501,0.0001186241376851
502,0.0001762612629479
503,9.709916379927094e-05
504,0.0408045981223092
